gevol_code	species
eaMgs01	Cerceris_arenaria
hcMgs01	Hedychrum_chalybaeum
hnMgs01	Hedychrum_nobile
mmMgs01	Megascolia_maculata
sdMgs02	Sapygina_decemguttata
shMgs01	Scolia_hirta
sqMgs01	Sapyga_quinquepunctata
pbMgs01	Polistes_biglumis
pdMgs02	Polistes_aff_dominula
pdMgs03	Polistes_aff_dominula
mgWgs01	Myrmica_ruginodis
frWgs03	Formica_rufibarbis
frWgs05	Formica_rufibarbis
flWgs03	Formica_lemani
caWgs01	Camponotus_maculatus_Ct2
caWgs02	Camponotus_maculatus_Ct2
cbWgs01	Camponotus_maculatus_Ct1
aoMgs01	Acromyrmex_octospinosus
GAGA-0014	Acromyrmex_echinatior
GAGA-0028	Myrmica_rubra
GAGA-0177	Lasius_niger
GAGA-0220	Acromyrmex_octospinosus
GAGA-0223	Temnothorax_longispinosus
trug	Temnothorax_rugatulaus
GCA_905340365	Vespula_germanica
GCF_910589235	Vespa_crabro
GCA_910591515	Cerceris_rybyensis
GCA_964186655	Bombus_lapidarius
GCA_910591885	Bombus_terrestris